start,end,my_path,my_cost,nx_path,nx_cost
4,38,[4, 14, 5, np.int64(38)],662.0,[np.int64(4), 14, 5, np.int64(38)],662.0
32,21,[32, np.int64(21)],194.0,[np.int64(32), np.int64(21)],194.0
21,42,[21, 40, 16, np.int64(42)],732.0,[np.int64(21), 40, 16, np.int64(42)],732.0
4,34,[4, 47, 46, 7, np.int64(34)],983.0,[np.int64(4), 47, 46, 7, np.int64(34)],983.0
10,4,[10, 43, 38, np.int64(4)],665.0,[np.int64(10), 43, 38, np.int64(4)],665.0
