start,end,my_path,my_cost,nx_path,nx_cost
1,15,[1, 12, 0, 3, np.int64(15)],1297.0,[np.int64(1), 12, 0, 3, np.int64(15)],1297.0
13,8,[13, 17, 16, np.int64(8)],828.0,[np.int64(13), 17, 16, np.int64(8)],828.0
8,17,[8, 18, 4, np.int64(17)],1228.0,[np.int64(8), 18, 4, np.int64(17)],1228.0
1,13,[1, np.int64(13)],709.0,[np.int64(1), np.int64(13)],709.0
4,1,[4, 17, 16, np.int64(1)],1271.0,[np.int64(4), 17, 16, np.int64(1)],1271.0
