start,end,my_path,my_cost,nx_path,nx_cost
44,386,[np.int64(44), 385, 47, 300, np.int64(386)],553.0,[np.int64(44), 385, 47, 300, 386],553.0
327,219,[np.int64(327), 310, 191, 348, np.int64(219)],329.0,[np.int64(327), 310, 191, 348, 219],329.0
216,429,[np.int64(216), 212, 248, 238, np.int64(429)],467.0,[np.int64(216), 212, 248, 238, 429],467.0
42,348,[np.int64(42), 186, np.int64(348)],877.0,[np.int64(42), 186, 348],877.0
100,47,[np.int64(100), 314, 286, np.int64(47)],587.0,[np.int64(100), 314, 286, 47],587.0
