start,end,my_path,my_cost,nx_path,nx_cost
0,7,[0, np.int64(7)],-64.0,[np.int64(0), np.int64(7)],-64.0
6,4,[6, 7, np.int64(4)],778.0,[np.int64(6), 7, np.int64(4)],778.0
4,8,[4, 0, 7, np.int64(8)],566.0,[np.int64(4), 0, 7, np.int64(8)],566.0
0,6,[0, 7, 8, np.int64(6)],466.0,[np.int64(0), 7, 8, np.int64(6)],466.0
2,0,[2, 9, 7, 4, np.int64(0)],2229.0,[np.int64(2), 9, 7, 4, np.int64(0)],2229.0
